filter_name;noise_type;noise_intensity;filter_value;med_chest_ct.jpg;med_chest_xray.jpg;med_hand_xray.jpg;med_head_mr.jpg;med_thorax_ct.jpg;sat_mixed_close_1.jpg;sat_mixed_close_2.jpg;sat_mixed_close_3.jpg;sat_nature_farther_1.jpg;sat_nature_farther_2.jpg;sat_nature_farther_3.jpg;sat_urban_farther_normal_1.jpg;sat_urban_farther_normal_2.jpg;sat_urban_farther_normal_3.jpg
gaussian_filter;salt_pepper;0_5;1;0,1341;0,104;0,0632;0,1575;0,1397;0,191;0,1933;0,1985;0,192;0,1472;0,1438;0,1585;0,2169;0,2176
gaussian_filter;salt_pepper;0_5;2;0,1737;0,3274;0,1673;0,2397;0,1794;0,2869;0,2517;0,2569;0,2617;0,1889;0,2196;0,2098;0,2359;0,2438
gaussian_filter;salt_pepper;0_5;3;0,1594;0,4821;0,2373;0,2583;0,1624;0,3565;0,2677;0,2542;0,2514;0,1782;0,2252;0,211;0,2024;0,2059
gaussian_filter;salt_pepper;0_5;4;0,1415;0,5588;0,2801;0,2432;0,1399;0,3936;0,2765;0,2337;0,2083;0,1533;0,2135;0,1993;0,1692;0,1823
gaussian_filter;salt_pepper;0_5;5;0,1233;0,5833;0,301;0,2178;0,1213;0,4045;0,2751;0,2223;0,1681;0,1323;0,1996;0,1892;0,1442;0,163
gaussian_filter;salt_pepper;0_5;6;0,1076;0,5898;0,3102;0,1935;0,1062;0,4091;0,2711;0,2128;0,1381;0,1227;0,192;0,1752;0,1228;0,1504
gaussian_filter;salt_pepper;0_5;7;0,0957;0,5848;0,3147;0,1796;0,0949;0,4091;0,2637;0,2036;0,1152;0,1104;0,1791;0,1657;0,1062;0,1402
gaussian_filter;salt_pepper;0_5;8;0,0874;0,577;0,3152;0,1688;0,0852;0,4046;0,2561;0,1951;0,0976;0,1001;0,1677;0,1566;0,0926;0,1329
gaussian_filter;salt_pepper;0_5;9;0,08;0,57;0,3153;0,1606;0,0767;0,4013;0,252;0,1878;0,0859;0,0942;0,1561;0,1487;0,0832;0,1265
gaussian_filter;salt_pepper;0_5;10;0,0742;0,5655;0,3135;0,1548;0,0708;0,3965;0,2475;0,1807;0,0721;0,0864;0,1496;0,1424;0,0734;0,1204
gaussian_filter;salt_pepper;0_05;1;0,4703;0,5438;0,5139;0,6181;0,5007;0,6276;0,6068;0,6387;0,6247;0,5253;0,5163;0,537;0,6194;0,6316
gaussian_filter;salt_pepper;0_05;2;0,4432;0,765;0,7426;0,6959;0,4519;0,6615;0,579;0,5588;0,5613;0,4629;0,4967;0,4897;0,4956;0,5
gaussian_filter;salt_pepper;0_05;3;0,3794;0,8077;0,8056;0,6409;0,385;0,6246;0,5116;0,4819;0,4509;0,3721;0,4375;0,4222;0,3772;0,3829
gaussian_filter;salt_pepper;0_05;4;0,3265;0,8033;0,816;0,5592;0,3343;0,5861;0,4637;0,4315;0,3595;0,3003;0,3836;0,3746;0,3042;0,3139
gaussian_filter;salt_pepper;0_05;5;0,2886;0,7931;0,8123;0,4879;0,2969;0,5558;0,4312;0,3979;0,2944;0,2495;0,3458;0,3417;0,2582;0,2733
gaussian_filter;salt_pepper;0_05;6;0,2612;0,7817;0,8061;0,4328;0,269;0,5333;0,4074;0,3755;0,2459;0,2099;0,317;0,3161;0,2264;0,2477
gaussian_filter;salt_pepper;0_05;7;0,2404;0,7745;0,7988;0,4045;0,2468;0,5178;0,3931;0,3572;0,2103;0,1815;0,2922;0,2976;0,1996;0,2307
gaussian_filter;salt_pepper;0_05;8;0,2226;0,768;0,7935;0,3826;0,2236;0,508;0,3831;0,3443;0,183;0,1589;0,2753;0,2819;0,1818;0,2163
gaussian_filter;salt_pepper;0_05;9;0,2076;0,7626;0,7878;0,367;0,2048;0,4983;0,3772;0,3322;0,1663;0,1414;0,2615;0,2707;0,1653;0,206
gaussian_filter;salt_pepper;0_05;10;0,1928;0,759;0,7829;0,3533;0,1928;0,4921;0,3715;0,3213;0,1521;0,1323;0,2498;0,2606;0,1511;0,1953
gaussian_filter;salt_pepper;0_25;1;0,2237;0,1971;0,1371;0,2903;0,2406;0,3303;0,3336;0,3531;0,341;0,2564;0,2492;0,2851;0,3631;0,3753
gaussian_filter;salt_pepper;0_25;2;0,2549;0,5005;0,3278;0,4177;0,2732;0,4646;0,3959;0,3941;0,4082;0,2982;0,3369;0,3269;0,3585;0,3652
gaussian_filter;salt_pepper;0_25;3;0,2314;0,6488;0,4231;0,4207;0,2441;0,5034;0,3903;0,3729;0,3617;0,2671;0,3415;0,3201;0,2955;0,3004
gaussian_filter;salt_pepper;0_25;4;0,2016;0,697;0,4653;0,3802;0,2143;0,5069;0,3785;0,3462;0,2971;0,2239;0,3199;0,3004;0,246;0,2527
gaussian_filter;salt_pepper;0_25;5;0,1769;0,7098;0,4793;0,3381;0,1913;0,5005;0,363;0,3258;0,2396;0,1855;0,2908;0,2808;0,2115;0,2201
gaussian_filter;salt_pepper;0_25;6;0,1586;0,7094;0,4832;0,2974;0,1726;0,4897;0,3517;0,3088;0,1966;0,1598;0,2662;0,2672;0,1832;0,1989
gaussian_filter;salt_pepper;0_25;7;0,1441;0,7046;0,483;0,2792;0,158;0,4806;0,3417;0,2971;0,1663;0,1411;0,2447;0,2542;0,1615;0,1857
gaussian_filter;salt_pepper;0_25;8;0,1325;0,7004;0,4815;0,2684;0,143;0,4724;0,3353;0,2861;0,1443;0,1264;0,2287;0,2405;0,1431;0,1748
gaussian_filter;salt_pepper;0_25;9;0,1236;0,6954;0,4799;0,2553;0,1299;0,467;0,3274;0,2784;0,127;0,1132;0,2167;0,2308;0,1312;0,1637
gaussian_filter;salt_pepper;0_25;10;0,1156;0,6917;0,479;0,2454;0,1213;0,4604;0,3237;0,268;0,1161;0,1013;0,2058;0,2199;0,118;0,1549
gaussian_filter;gaussian;0_5;1;0,3536;0,3898;0,4373;0,552;0,3988;0,5372;0,5479;0,5797;0,5718;0,4514;0,4429;0,4842;0,5757;0,5963
gaussian_filter;gaussian;0_5;2;0,3249;0,6788;0,6471;0,6522;0,3559;0,6173;0,5525;0,5293;0,5549;0,4453;0,4846;0,4713;0,4876;0,4937
gaussian_filter;gaussian;0_5;3;0,2742;0,7601;0,6912;0,5935;0,2974;0,5997;0,4973;0,4576;0,4543;0,361;0,4429;0,417;0,379;0,3865
gaussian_filter;gaussian;0_5;4;0,2363;0,7711;0,6929;0,5182;0,2588;0,5708;0,4532;0,4128;0,3647;0,296;0,3953;0,3716;0,3082;0,3179
gaussian_filter;gaussian;0_5;5;0,2096;0,7657;0,6867;0,451;0,2314;0,5443;0,4222;0,3844;0,3022;0,2456;0,354;0,3424;0,2639;0,2775
gaussian_filter;gaussian;0_5;6;0,1902;0,7595;0,6803;0,3966;0,2116;0,5271;0,4023;0,3631;0,2527;0,2089;0,3246;0,3214;0,2306;0,2518
gaussian_filter;gaussian;0_5;7;0,1754;0,7511;0,6751;0,3688;0,1949;0,514;0,388;0,3468;0,2159;0,183;0,3042;0,306;0,2077;0,2346
gaussian_filter;gaussian;0_5;8;0,1633;0,7462;0,6704;0,3486;0,178;0,5038;0,38;0,3348;0,1869;0,1653;0,2859;0,2917;0,1869;0,2201
gaussian_filter;gaussian;0_5;9;0,1528;0,7403;0,6667;0,3302;0,1663;0,4955;0,373;0,3259;0,1716;0,1525;0,2681;0,2807;0,1703;0,2085
gaussian_filter;gaussian;0_5;10;0,1437;0,737;0,6634;0,3174;0,1561;0,4885;0,3693;0,3161;0,1588;0,1413;0,2542;0,2692;0,1561;0,1987
gaussian_filter;gaussian;0_9;1;0,2263;0,1555;0,1345;0,2773;0,2414;0,2977;0,3208;0,3319;0,3169;0,2287;0,2191;0,2634;0,3497;0,355
gaussian_filter;gaussian;0_9;2;0,251;0,4131;0,3063;0,393;0,2673;0,4117;0,4002;0,3755;0,3986;0,2975;0,3237;0,3113;0,366;0,3667
gaussian_filter;gaussian;0_9;3;0,2226;0,5861;0,3998;0,4021;0,2351;0,4617;0,4022;0,3598;0,3629;0,2737;0,3396;0,3061;0,3095;0,3141
gaussian_filter;gaussian;0_9;4;0,1929;0,6603;0,4337;0,362;0,2034;0,4778;0,3803;0,3388;0,3035;0,2298;0,3232;0,2912;0,2548;0,2701
gaussian_filter;gaussian;0_9;5;0,1697;0,682;0,4447;0,3165;0,1802;0,4781;0,3624;0,3194;0,2516;0,1951;0,298;0,2765;0,2175;0,2379
gaussian_filter;gaussian;0_9;6;0,1526;0,6851;0,4468;0,2774;0,163;0,4754;0,347;0,3031;0,2065;0,1671;0,2761;0,2618;0,1888;0,2157
gaussian_filter;gaussian;0_9;7;0,1386;0,6811;0,4465;0,2559;0,1492;0,4705;0,3386;0,2901;0,175;0,1499;0,256;0,2491;0,1651;0,2003
gaussian_filter;gaussian;0_9;8;0,1283;0,6766;0,4452;0,2406;0,1364;0,4654;0,3336;0,28;0,1513;0,1361;0,2388;0,2403;0,1475;0,1871
gaussian_filter;gaussian;0_9;9;0,1189;0,6708;0,4431;0,2292;0,1269;0,4603;0,3271;0,2721;0,1339;0,1281;0,2248;0,2287;0,1336;0,1759
gaussian_filter;gaussian;0_9;10;0,1122;0,6661;0,4422;0,2201;0,1188;0,4545;0,321;0,2616;0,1186;0,1166;0,2121;0,2229;0,123;0,168
median_filter;salt_pepper;0_5;1;0,037;0,0093;0,0068;0,0385;0,0336;0,0453;0,0535;0,0504;0,0345;0,0256;0,0221;0,0349;0,0523;0,0522
median_filter;salt_pepper;0_5;2;0,0706;0,0275;0,014;0,06;0,06;0,0669;0,084;0,0716;0,0512;0,0358;0,0426;0,0566;0,0941;0,0874
median_filter;salt_pepper;0_5;3;0,3142;0,1848;0,2807;0,3178;0,3001;0,2496;0,2479;0,2677;0,2573;0,1999;0,1842;0,2015;0,2651;0,2632
median_filter;salt_pepper;0_5;4;0,5055;0,5262;0,5532;0,5345;0,4699;0,4692;0,4226;0,4146;0,4448;0,4088;0,4218;0,385;0,4375;0,4235
median_filter;salt_pepper;0_5;5;0,7421;0,818;0,8659;0,783;0,6652;0,6774;0,591;0,5573;0,629;0,5998;0,6212;0,5411;0,5726;0,5533
median_filter;salt_pepper;0_5;6;0,7484;0,8913;0,9202;0,8094;0,6703;0,6996;0,6016;0,554;0,6324;0,6198;0,6496;0,5586;0,566;0,5394
median_filter;salt_pepper;0_5;7;0,7728;0,9129;0,9454;0,8232;0,6852;0,6971;0,5987;0,5472;0,6387;0,6157;0,6545;0,557;0,5515;0,5235
median_filter;salt_pepper;0_5;8;0,7512;0,9069;0,9436;0,7961;0,6652;0,6729;0,5704;0,5189;0,607;0,5893;0,635;0,5327;0,515;0,4832
median_filter;salt_pepper;0_5;9;0,7539;0,8891;0,9452;0,7641;0,6635;0,6549;0,5409;0,5042;0,5828;0,4753;0,4801;0,4824;0,4247;0,4586
median_filter;salt_pepper;0_5;10;0,7339;0,8794;0,9403;0,7344;0,6455;0,6329;0,518;0,4828;0,5514;0,3858;0,4524;0,4616;0,3877;0,4108
median_filter;salt_pepper;0_05;1;0,3763;0,2158;0,2886;0,3888;0,3918;0,3903;0,4292;0,4449;0,4059;0,3401;0,3093;0,3745;0,4526;0,4668
median_filter;salt_pepper;0_05;2;0,7998;0,8718;0,8671;0,8364;0,774;0,7872;0,7347;0,7452;0,7551;0,7361;0,747;0,6901;0,7486;0,7374
median_filter;salt_pepper;0_05;3;0,9497;0,9715;0,9841;0,9681;0,8993;0,8901;0,8239;0,8446;0,8653;0,8215;0,8462;0,7424;0,8373;0,8282
median_filter;salt_pepper;0_05;4;0,8955;0,9524;0,9732;0,9134;0,8237;0,8155;0,7269;0,7169;0,7302;0,6879;0,699;0,638;0,6938;0,6841
median_filter;salt_pepper;0_05;5;0,9059;0,9523;0,9773;0,9168;0,8165;0,803;0,7057;0,6828;0,7221;0,6313;0,6643;0,6061;0,6559;0,6515
median_filter;salt_pepper;0_05;6;0,866;0,9363;0,967;0,8667;0,7709;0,7502;0,6459;0,6094;0,6473;0,5585;0,5891;0,5505;0,5646;0,562
median_filter;salt_pepper;0_05;7;0,8692;0,9309;0,9684;0,8532;0,7672;0,7283;0,6217;0,5858;0,6308;0,5157;0,558;0,5177;0,5239;0,5216
median_filter;salt_pepper;0_05;8;0,8373;0,9167;0,9595;0,8114;0,7355;0,691;0,58;0,5408;0,5764;0,4649;0,515;0,4833;0,4653;0,462
median_filter;salt_pepper;0_05;9;0,8385;0,9098;0,9601;0,7971;0,7336;0,6704;0,5546;0,5239;0,5589;0,4245;0,4914;0,4605;0,4321;0,4264
median_filter;salt_pepper;0_05;10;0,8129;0,8987;0,9525;0,76;0,7093;0,6437;0,524;0,4938;0,5097;0,3894;0,4635;0,435;0,3956;0,3848
